url,impressions,position,clicks,candidate_queries,match_score
/zh/blog/balcony-air-conditioner-outdoor-unit-feng-shui/,164,8.8,9,冷氣室外機陽台(3) | 冷氣室外機擺放位置風水(18) | 冷氣室外機正對窗戶風水(3) | 冷氣在床頭上方(45) | 客廳冷氣位置風水(20) | 冷氣在床側邊(19) | 冷氣在頭上風水(17) | 床頭上方有冷氣(13),72
/zh/blog/bedroom-ceiling-fan-feng-shui/,157,5.9,4,,0
/zh/blog/living-room-air-conditioner-feng-shui/,156,8.4,3,客廳冷氣位置風水(20) | 客廳冷氣位置(6) | 冷氣在床頭上方(45) | 冷氣在床側邊(19) | 冷氣室外機擺放位置風水(18) | 冷氣在頭上風水(17) | 床頭上方有冷氣(13) | 冷氣裝在床頭上(13),64
/zh/blog/entryway-shoe-cabinet-feng-shui/,155,8.4,0,玄關鞋櫃風水(3) | 鞋櫃對大門(4) | 玄關穿鞋椅風水(3),62
/zh/blog/bedroom-bed-left-wall-access-feng-shui/,154,6.4,9,床左邊靠牆風水(40) | 床左邊靠牆怎麼辦(33) | 床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床头老是晃动撞墙怎么办(11) | 床靠牆換床單(9),40
/zh/blog/bathroom-hair-dryer-feng-shui/,152,6.3,2,,0
/zh/blog/small-room-wardrobe-door-turning-clearance-feng-shui/,146,9.0,1,房門打開看到衣櫃(28) | 開門對衣櫃角(27) | 房間開門見衣櫃(14) | 開門對衣櫃(13) | 開門見衣櫃側邊(11) | 衣櫃可以對門嗎(10) | 開門見衣櫃好嗎(8) | 開門見衣櫃(6),39
/zh/blog/bedroom-bed-head-wall-power-outlet-feng-shui/,145,7.1,6,床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床頭要靠牆嗎(7) | 床頭沒有靠牆(7) | 床頭靠門牆化解(7) | 冷氣在床頭上方(45),64
/zh/blog/bedroom-air-conditioner-wardrobe-clearance-feng-shui/,142,6.2,8,冷氣下可以放衣櫃嗎(6) | 冷氣在床頭上方(45) | 客廳冷氣位置風水(20) | 冷氣在床側邊(19) | 冷氣室外機擺放位置風水(18) | 冷氣在頭上風水(17) | 床頭上方有冷氣(13) | 冷氣裝在床頭上(13),63
/zh/blog/bedroom-ceiling-light-feng-shui/,127,7.8,4,,0
/zh/blog/air-conditioner-bedroom-layout/,127,9.4,3,冷氣室外機擺放位置風水(18) | 冷氣在床頭上方(45) | 客廳冷氣位置風水(20) | 冷氣在床側邊(19) | 冷氣在頭上風水(17) | 床頭上方有冷氣(13) | 冷氣裝在床頭上(13) | 冷氣下可以放衣櫃嗎(6),64
/zh/blog/bed-head-against-wall-bedside-cabinet-height-feng-shui/,127,9.8,1,床頭櫃高度(22) | 床頭櫃 高度(6) | 床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床頭要靠牆嗎(7) | 床頭沒有靠牆(7),84
/zh/blog/small-room-storage-zones/,123,28.8,0,小房間 收納(85) | 小房間收納(35) | 小坪數收納床規劃(5),41
/zh/storage-bed-selector/,123,50.4,0,掀床收納(5) | 小坪數收納床規劃(5),37
/zh/blog/bedroom-bedside-clock-feng-shui/,118,6.7,2,,0
/zh/blog/home-office-desk-doorway-clearance-feng-shui/,116,5.9,2,,0
/zh/blog/bed-head-against-wall-small-room-wardrobe-zone-feng-shui/,110,8.8,6,床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床頭要靠牆嗎(7) | 床頭沒有靠牆(7) | 床頭靠門牆化解(7) | 床頭衣櫃風水(5),64
/zh/blog/balcony-privacy-screen-feng-shui/,110,6.7,4,,0
/zh/blog/entryway-helmet-storage-feng-shui/,108,6.2,3,玄關安全帽收納(16),64
/zh/blog/sofa-back-door-window-feng-shui/,106,9.0,4,,0
/zh/blog/beam-over-bed-bunk-bed-clearance-feng-shui/,106,8.5,2,樑下床(3) | 鏡子對床側邊(49) | 冷氣在床頭上方(45) | 床頭靠窗怎麼辦(42) | 床左邊靠牆風水(40) | 床頭靠窗(37) | 衣櫃對床風水(35) | 床左邊靠牆怎麼辦(33),62
/zh/blog/small-room-storage-shoes-entryway-capacity-feng-shui/,105,7.4,2,小房間 收納(85) | 小房間收納(35) | 玄關安全帽收納(16) | 小坪數收納床規劃(5),41
/zh/blog/living-room-projector-lens-cleaning-feng-shui/,104,8.7,2,,0
/zh/blog/bed-direction-feng-shui/,104,8.8,1,,0
/zh/blog/entryway-screen-feng-shui/,100,7.7,2,,0
/zh/blog/home-office-desk-window-opening-clearance-feng-shui/,98,7.3,2,書桌靠窗(3),37
/zh/blog/dining-table-beam-feng-shui/,96,6.8,6,,0
/zh/bed-desk-wardrobe-layout/,96,7.5,1,衣櫃對床風水(35) | 衣櫃對床尾(19) | 衣櫃對床(12) | 衣櫃可以對床嗎(10) | 衣櫃擺放位置(8) | 床尾對衣櫃(5) | 床頭衣櫃風水(5) | 床頭後面是衣櫃(4),40
/zh/room-furniture-size-advisor/,95,8.3,1,,0
/zh/blog/bedroom-bed-doorway-line-of-sight-feng-shui/,94,9.1,4,,0
/zh/blog/bedroom-foot-of-bed-feng-shui/,93,8.1,2,,0
/zh/blog/bed-head-against-wall-bedside-access-feng-shui/,93,9.8,1,床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床頭要靠牆嗎(7) | 床頭沒有靠牆(7) | 床頭靠門牆化解(7) | 冷氣在床頭上方(45),74
/zh/blog/entryway-coat-rack-feng-shui/,91,7.7,2,,0
/zh/blog/living-room-tv-viewing-distance-feng-shui/,91,7.3,1,,0
/zh/blog/entryway-schoolbag-storage-feng-shui/,90,7.7,9,玄關安全帽收納(16),39
/zh/blog/living-room-air-purifier-feng-shui/,90,8.1,2,客廳冷氣位置風水(20) | 客廳冷氣位置(6),39
/zh/blog/bathroom-electric-shaver-cleaning-feng-shui/,90,8.8,0,,0
/zh/blog/bed-head-against-wall-pillow-gap-feng-shui/,89,6.8,2,床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床頭要靠牆嗎(7) | 床頭沒有靠牆(7) | 床頭靠門牆化解(7) | 冷氣在床頭上方(45),64
/zh/blog/home-office-monitor-feng-shui/,89,4.9,1,,0
/zh/blog/bedroom-bedside-lamp-feng-shui/,88,8.1,3,,0
/zh/blog/irregular-room-feng-shui-layout/,87,5.5,4,,0
/zh/blog/dining-room-lighting-feng-shui/,85,5.7,5,,0
/zh/blog/home-office-window-glare-feng-shui/,84,4.6,3,,0
/zh/blog/long-narrow-bedroom-layout/,84,5.4,3,,0
/zh/blog/bedroom-bed-headboard-wall-clock-clearance-feng-shui/,84,7.4,0,床左邊靠牆風水(40) | 床左邊靠牆怎麼辦(33) | 床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床头老是晃动撞墙怎么办(11) | 時鐘對床尾(11),40
/zh/blog/small-room-storage-lift-up-bed-opening-feng-shui/,84,42.6,0,小坪數收納床規劃(5) | 小房間 收納(85) | 小房間收納(35) | 掀床收納(5),62
/zh/blog/bathroom-shower-hose-connector-cleaning-feng-shui/,83,8.0,1,,0
/zh/blog/balcony-plant-shelf-feng-shui/,82,9.1,2,,0
/zh/blog/kitchen-water-dispenser-feng-shui/,81,6.6,2,,0
/zh/blog/bedroom-bedside-book-storage-feng-shui/,80,4.8,7,,0
/zh/blog/bedroom-worn-clothes-storage-feng-shui/,79,6.2,2,,0
/zh/blog/home-office-desk-chair-back-wall-clearance-feng-shui/,79,7.0,1,餐桌靠牆風水(4),37
/zh/blog/bedroom-bedside-wastebasket-feng-shui/,77,6.2,3,,0
/zh/blog/desk-placement-printer-ventilation-feng-shui/,77,4.6,2,書桌擺放位置圖(3),37
/zh/blog/balcony-floor-tile-cleaning-feng-shui/,77,8.3,0,,0
/zh/blog/entryway-robot-vacuum-feng-shui/,76,5.6,2,,0
