slug,impressions_90d,position,clicks_90d,target_queries,new_title,new_description
/zh/feng-shui-bedroom-checker/,172,15.5,7,臥室風水鑑定|風水鑑定|臥室風水檢查,臥室風水檢查表：輸入房間尺寸，逐項核對 12 個常見問題,免費線上臥室檢查工具。輸入房間長寬與門窗位置，逐項核對床位、鏡子、樑下與走道寬度，結果可匯出 PNG 或 PDF。
/zh/blog/kitchen-fridge-feng-shui/,311,9.4,3,家裡兩台冰箱風水|冰箱位置,冰箱位置怎麼擺？兩台冰箱與爐火距離的實際判斷,冰箱與爐火的距離先看散熱與動線。含兩台冰箱、冰箱對門與冰箱貼牆的散熱最小間距。
/zh/blog/entryway-doormat-feng-shui/,211,7.4,6,玄關地墊風水|玄關地墊,玄關地墊怎麼選？尺寸、材質與門片開啟的實際限制,地墊厚度會卡門片。先量門下淨高與門片迴轉範圍，再選尺寸與材質，附常見門寬對應的地墊尺寸。
/zh/blog/entryway-shoe-cabinet-feng-shui/,155,8.5,0,玄關鞋櫃|鞋櫃對門|鞋櫃尺寸,玄關鞋櫃怎麼配置？門片開啟、走道寬與鞋量的三項檢查,鞋櫃深度通常要 35～40 公分，加上門片與蹲下空間才是實際佔用。先算走道剩幾公分再決定深度。
/zh/blog/bedroom-wardrobe-door-opening-clearance-feng-shui/,344,8.7,4,衣櫃門開啟空間|衣櫃走道寬度,衣櫃門要留多寬？開門式與推拉門的最小操作尺寸,開門式衣櫃需要門片深度加站立空間，推拉門省空間但同時只能開一半。附兩種門型的最小留寬。
/zh/blog/entryway-door-hinge-squeak-cleaning-feng-shui/,243,7.1,2,門軸異音|大門異音|門鉸鏈,大門開關有異音怎麼處理？鉸鏈、門檻與地墊的逐項排查,異音來源通常是鉸鏈、門檻高低差或地墊卡門。依序排查，每一步都標明要量哪個尺寸。
/zh/blog/desk-placement-wall-support-feng-shui/,294,6.1,12,書桌靠牆|書桌背後空間,書桌背後要留多少？椅子後退與通行的兩段尺寸,書桌後方要分「椅子後退」與「有人通過」兩段算。附單人使用與雙人共用書房的建議留寬。
/zh/blog/bedroom-bed-left-wall-access-feng-shui/,154,6.4,9,床左邊靠牆風水|床左邊靠牆怎麼辦,床一邊靠牆可以嗎？單側上下床的走道與鋪床空間,床單側靠牆會影響鋪床與清潔。用床寬與房間淨寬算出另一側該留多少，附雙人床的最低建議值。
/zh/blog/balcony-air-conditioner-outdoor-unit-feng-shui/,164,8.9,9,冷氣室外機擺放位置風水|室外機位置,冷氣室外機位置怎麼選？散熱間距與陽台動線的實際限制,室外機前後需要散熱距離，擺錯會降低效率並擋住陽台動線。附常見機型的建議留空。
/zh/blog/bedroom-ceiling-light-feng-shui/,127,7.8,4,床頭燈風水|臥室燈具位置,臥室燈具位置怎麼配？主燈、床頭燈與開關的三段規劃,主燈避開床正上方、床頭燈看閱讀角度、雙切開關位置決定起床動線。附小房間的簡化做法。
/zh/small-bedroom-layout/,187,9.3,10,小房間 收納|小房間配置,小房間怎麼配置？先固定床，再排桌與收納的三步驟,小房間的順序是床、走道、收納。先量淨尺寸再放最大件家具，工具會標出走道低於 60 公分的位置。
/zh/blog/small-room-storage-zones/,123,28.8,0,小房間收納|小房間收納分區,小房間收納怎麼分區？先盤點 30 件常用物品再買收納盒,不要先買收納盒。先列出每天會拿的 30 件物品，分成五個存放區，再依剩餘空間決定盒子尺寸。
/zh/blog/living-room-air-conditioner-feng-shui/,156,8.4,3,客廳冷氣位置風水|客廳冷氣位置,客廳冷氣位置怎麼選？沙發、出風角度與坪數的對照,冷氣避免直吹沙發主要座位。依客廳坪數與格局給出三種安裝位置與對應的出風角度。
/zh/blog/bed-head-against-wall-bedside-cabinet-height-feng-shui/,127,9.9,1,床頭櫃高度|床頭櫃尺寸,床頭櫃高度怎麼選？與床墊面齊平的實際量法,床頭櫃高度以床墊上緣為基準，不是床架。附常見床墊厚度對應的櫃高與寬度建議。
/zh/blog/square-bedroom-layout/,173,7.0,9,方形房間配置|正方形臥室,方形臥室怎麼配置？四種門窗位置對應的床位選擇,方形房間的變數在門窗位置。依門在角落或中間分成四種情形，各給一組可行配置與走道寬度。
/zh/blog/dining-table-facing-door-feng-shui/,176,6.9,5,餐桌對門|餐桌位置,餐桌對門怎麼調整？拉椅空間與通行走道的兩個尺寸,餐桌位置先確認拉椅需要的 75 公分與旁邊通行的 60 公分。附小坪數餐廚合一的處理方式。
/zh/blog/entryway-umbrella-stand-feng-shui/,230,5.7,9,玄關傘架|雨傘收納,玄關傘架怎麼放？門片迴轉範圍與排水的實際位置,傘架常卡在門片迴轉範圍內。先量門開啟的弧線，再決定擺放位置與是否需要底盤排水。
/zh/blog/entryway-helmet-storage-feng-shui/,108,6.2,3,玄關安全帽收納|安全帽收納,安全帽收納怎麼做？玄關層板深度與通風的實際尺寸,安全帽需要約 30 公分深度與通風。附層板、吊掛與櫃內三種做法的尺寸與適用玄關寬度。
